,original,paraphrase,similar
74,"Son histoire se confond en grande partie avec celle de son château, construit au début du XIe siècle à l'extrémité d'un éperon rocheux surplombant la vallée de l'Indrois et plusieurs fois rebâti ou remanié depuis.","Portal 2 est très bien accueilli par toute la presse spécialisée, même si certains critiques émettent des réserves sur la difficulté de trouver une suite complète au premier.",False
35,"À la suite du retrait d'Alfa Corse, de la compétition, Nuvolari s'engage avec la Scuderia Ferrari qui engage semi-officiellement les Alfa Romeo et remporte les 24 Heures du Mans 1933.","Après le retrait d'Alfa Corse de la compétition, Nuvolari rejoint la Scuderia Ferrari, qui remporte les 24 Heures du Mans 1933.",True
369,"Dès les Textes des pyramides, les actions politiques du souverain sont encadrées par une seule maxime : « Amener Maât et repousser Isefet », c'est-à-dire promouvoir l'harmonie et repousser le chaos.","""Apportez Maat et repoussez Isefet"" est une maxime des Textes de la Pyramide qui dit de promouvoir l'harmonie et de repousser le Chaos.",True
230,Il trouve la mort lors du Grand Prix de Belgique 1939.,Il est décédé au Grand Prix de Belgique.,True
438,"Ainsi, lorsque les militaires grecs organisent le coup de Goudi à l'été 1909, Venizélos est sollicité pour prendre en mains la destinée de la nation.",On a demandé à Venizelos de prendre en main le sort de la nation lorsque l'armée grecque a organisé un coup d'État en 1909.,True
255,"En milieu d'année, découvrant que l'écurie s'est jouée de lui, il se libère de ses engagements, conserve la voiture et change de stratégie.",Tout membre de l'administration ne peut agir qu'au nom de la personne royale.,False
301,"Alors qu'il est en tête, sous la pluie de Spa, sa monoplace part en glisse, s'encastre dans un arbre et s'embrase.",Il a déménagé à La Canée à la fin du 19e siècle et a commencé le journalisme et la politique.,False
257,"En milieu d'année, découvrant que l'écurie s'est jouée de lui, il se libère de ses engagements, conserve la voiture et change de stratégie.","Pharaon assure la prospérité en faisant appel aux dieux pour réguler les eaux du Nil, en ouvrant des greniers en cas de famine et en garantissant une bonne répartition des terres arables.",False
425,"C’est dans ce contexte qu’au printemps 1905, il prend la tête d’une insurrection qui se termine par le départ du prince Georges.","Au printemps 1905, il prend la tête d'une insurrection qui prend fin avec le départ de Prince George.",True
165,"Ces gels ont été créés par l'équipe du projet Tag: The Power of Paint du DigiPen Institute of Technology, gagnante de la compétition étudiante au Independent Games Festival de 2009.",Le gagnant du concours étudiant au Independent Games Festival était l'équipe du projet Tag: The Power of Paint.,True
388,Pharaon est toujours le seul vainqueur ; debout en assommant une grappe de prisonniers ou en décochant des flèches depuis son char de combat.,Pharaon est le seul gagnant car il est le seul à pouvoir soutenir son char de combat ou assommer un groupe de prisonniers.,True
153,"Avant la sortie du jeu sur Steam, l'entreprise met en vente un deuxième jeu en réalité alternée, Potato Sack, portant sur treize titres développés indépendamment, qui aboutit à une parodie de calcul distribué permettant de télécharger Portal 2 dix heures avant sa sortie.","Avant la sortie du jeu sur Steam, la société met en vente un deuxième jeu de réalité alternative, Potato Sack, qui aboutit à une parodie informatique distribuée qui permet de télécharger Portal 2 10 heures avant sa sortie.",True
83,"Parmi les seigneurs et châtelains successifs de Montrésor, trois personnalités émergent.",Il y a trois personnes différentes parmi les seigneurs et seigneurs de Montrésor.,True
51,"La relation avec Enzo Ferrari empirant courant 1937, il s'essaye au pilotage d'une des Flèches d'Argent d'Auto Union puis rejoint la firme allemande en 1938 et lui reste fidèle jusqu'au début de la Seconde Guerre mondiale.","Les nouvelles fonctionnalités de Portal 2 incluent les faisceaux tracteurs, la réflexion laser, les ponts lumineux et le gel pour augmenter la vitesse du joueur.",False
381,"Tel Rê qui combat le serpent Apophis, le roi d'Égypte repousse les pillards du désert, combat les armées d'invasion et mate les rebelles intérieurs.","Le roi d'Egypte combat les armées d'invasion, combat les pillards dans le désert et soumet les rebelles.",True
37,"À la suite du retrait d'Alfa Corse, de la compétition, Nuvolari s'engage avec la Scuderia Ferrari qui engage semi-officiellement les Alfa Romeo et remporte les 24 Heures du Mans 1933.","Avant la sortie du jeu sur Steam, la société met en vente un deuxième jeu de réalité alternative, Potato Sack, qui se traduit par une parodie informatique distribuée qui permet de télécharger Portal 2 dix heures avant sa sortie.",False
48,"Nuvolari se tourne de nouveau vers la Scuderia Ferrari, avec le soutien du premier ministre italien Benito Mussolini.",Tag: The Power of Paint a remporté le concours étudiant du Independent Games Festival et a créé ces gels.,False
494,"Grâce à son action, le royaume de Grèce figure dans le camp des vainqueurs.","La richesse de son patrimoine bâti, son cadre naturel et ses personnages historiques ont permis à la ville d'axer son développement économique sur le tourisme depuis plusieurs décennies.",False
176,"Le jeu introduit de nouveaux personnages comme Wheatley et Cave Johnson respectivement interprétés en version originale par Stephen Merchant et J. K. Simmons, et par Guillaume Lebon et Paul Borne en version française.","La version originale a été écrite par Stephen Merchant et J. K. Simmons, tandis que la version française a été écrite par Guillaume Lebon et Paul Borne.",True
328,"Dans les sanctuaires, l'image du souverain est omniprésente par l'entremise des scènes pariétales et des statues.","Afin de permettre au pays de faire face aux conflits émergents, le Premier ministre mène une politique de modernisation du royaume en ce qui concerne l'armée et la marine.",False
481,"La France finit par pousser le roi à l'exil et, en juin 1917, Venizélos installe son gouvernement à Athènes.",Venizelos installe son gouvernement à Athènes en juin 1917 après que la France ait poussé le roi à l'exil.,True
184,Jonathan Coulton et le groupe The National produisent chacun une chanson pour le jeu.,Jonathan Coulton et le groupe The National ont écrit une chanson pour le jeu.,True
138,La version pour Linux a été mise en bêta-test le 25 février 2014.,"En milieu d'année, il s'est libéré de ses engagements, a conservé sa voiture et a changé de stratégie après avoir appris que l'équipe avait joué contre lui.",False
205,"Les nouveaux éléments du système de jeu, la courbe d'apprentissage du jeu, difficile, mais surmontable, et le nouveau mode coopératif, sont également soulignés.",Les diverses activités religieuses et gouvernementales du roi d'Egypte ont eu lieu entre les années 3150 et 30 av.,False
83,"Parmi les seigneurs et châtelains successifs de Montrésor, trois personnalités émergent.","L'histoire du jeu, son rythme et son humour noir sont présentés comme des éléments uniques et les spécialistes saluent le travail apporté aux voix de GLaDOS, Wheatley et Cave Johnson.",False
201,"Le scénario du jeu, son rythme et son humour noir sont présentés comme des éléments uniques, et les spécialistes saluent le travail apporté aux voix de GLaDOS, de Wheatley et de Cave Johnson.",Les diverses activités religieuses et gouvernementales du roi d'Egypte se faisaient pendant l'Antiquité.,False
236,"Issu de la haute bourgeoisie britannique, il s'écarte de la carrière que lui prévoient ses parents pour courir aux côtés de son collègue d'école, Whitney Straight.",Les dieux se doivent de faire fonctionner les forces de la nature au profit de tous les Égyptiens.,False
239,"Issu de la haute bourgeoisie britannique, il s'écarte de la carrière que lui prévoient ses parents pour courir aux côtés de son collègue d'école, Whitney Straight.",Il a quitté le plan de carrière que ses parents avaient pour lui de courir avec son ami de l'école Whitney Straight.,True
44,"Déçu par les monoplaces de l'écurie, il entre en conflit avec Enzo Ferrari et rejoint Maserati en milieu de saison 1933 pour y rester jusqu'en 1934, date à laquelle la firme se retire de la compétition.",Il était mécontent des monoplaces de l'équipe et a rejoint Maserati au milieu de la saison 1933 pour rester jusqu'en 1934.,True
370,"Père nourricier du peuple, Pharaon assure la prospérité en appelant les dieux à réguler les eaux du Nil, en ouvrant les greniers en cas de famine et en garantissant une bonne répartition des terres arables.","Pharaon assure la prospérité en faisant appel aux dieux pour réguler les eaux du Nil, en ouvrant des greniers en cas de famine et en garantissant une bonne répartition des terres arables.",True
54,"La relation avec Enzo Ferrari empirant courant 1937, il s'essaye au pilotage d'une des Flèches d'Argent d'Auto Union puis rejoint la firme allemande en 1938 et lui reste fidèle jusqu'au début de la Seconde Guerre mondiale.","Stephen Merchant et J. K. Simmons ont écrit la version originale du jeu, tandis que Guillaume Lebon et Paul Borne ont écrit la version française.",False
384,"Tel Rê qui combat le serpent Apophis, le roi d'Égypte repousse les pillards du désert, combat les armées d'invasion et mate les rebelles intérieurs.","Le roi d'Egypte repousse les pillards du désert, combat les armées d'invasion et soumet les rebelles.",True
188,"Portal 2 comprend également un mode coopératif à deux joueurs, dans lequel les personnages Atlas et P-Body reçoivent chacun un générateur de portails et doivent travailler ensemble afin de résoudre des énigmes et trouver une échappatoire.",Les personnages Atlas et P-Body reçoivent chacun un générateur de portail et doivent travailler ensemble pour résoudre des énigmes et trouver une issue de secours dans un mode coopératif à deux joueurs.,True
268,"Décidé à « donner une leçon à ERA » en 1936, il acquiert une Delage vieille de dix ans que ses mécaniciens optimisent massivement.",Il a fait l'acquisition d'un Delage âgé de dix ans pour lui donner une leçon.,True
318,"Personnage central de l'État, le pharaon est l'intercesseur obligé entre les dieux et les humains.","La figure centrale de l'État est le pharaon, un intercesseur entre les dieux et les humains.",True
229,"Considéré comme l'un des meilleurs, sinon comme le meilleur pilote de Grand Prix britannique de l'entre-deux-guerres, il s'impose comme le meilleur coureur de l'année 1936 sur voiturettes puis rejoint Daimler-Benz AG entre 1937 et 1939 avec qui il remporte une Grande Épreuve, le Grand Prix d'Allemagne en 1938.",Pharaon est le premier des prêtres du pays et est le seul humain autorisé à dialoguer avec les dieux.,False
352,"Seul humain admis à dialoguer avec les dieux sur un plan d'égalité, Pharaon est l'officiant suprême ; le premier des prêtres du pays.",Pharaon est le premier prêtre du pays et il est le seul autorisé à dialoguer avec les dieux sur un pied d'égalité.,True
361,"Aussi, tout membre de l'administration n'agit qu'au nom de la seule personne royale, par délégation de pouvoir.",La délégation de pouvoir signifie que tout membre de l'administration ne peut agir qu'au nom de la personne royale.,True
307,"Retiré gravement brûlé du véhicule, Richard Seaman succombe à ses blessures peu après minuit.",Le ministre de la Justice du gouvernement local du Haut Commissaire Prince George s'est opposé à l'idée de l'attachement à la Grèce.,False
432,"Sa réputation dépasse alors les limites de son île, et gagne même une renommée internationale.",Sa réputation a dépassé les limites de son île et il a acquis une renommée internationale.,True
240,"Quittant progressivement les études, il s'engage en voiturettes au sein de l'écurie de son ami en 1934.",Il rejoint les charrettes tirées par des chevaux de son ami après avoir quitté ses études.,True
148,Portal 2 est annoncé le 5 mars 2010 à la suite d'un jeu en réalité alternée d'une semaine basé sur les nouveaux correctifs apportés au jeu original.,Un jeu de réalité alternative d'une semaine basé sur de nouvelles corrections du jeu original précédera l'annonce de Portal 2 le 5 mars 2010.,True
99,"Claude de Bourdeille Comte de Montrésor, complotiste contre Richelieu, qui vécu avec Marie de Guise (1615-1688), descendante des Batarnay et Joyeuse inhumés dans la collégiale de Montrésor.","Claude de Bourdeille Comte de Montrésor was a conspirator against Richelieu, who lived with Marie de Guise.",True
146,Portal 2 est annoncé le 5 mars 2010 à la suite d'un jeu en réalité alternée d'une semaine basé sur les nouveaux correctifs apportés au jeu original.,"En milieu d'année, il s'est libéré de ses engagements, a conservé sa voiture et a changé de stratégie après avoir appris que l'équipe avait joué sur lui.",False
309,"Retiré gravement brûlé du véhicule, Richard Seaman succombe à ses blessures peu après minuit.",Sa réputation dépasse les limites de son île et acquiert une renommée internationale.,False
419,"Élu député libéral à l'assemblée générale crétoise en 1889, insurgé lors de la révolte de 1897-1898, il rédige à l’issue de celle-ci la constitution de la Crète autonome.",Il était mécontent des monoplaces de l'équipe et a rejoint Maserati au milieu de la saison 1933 pour rester jusqu'en 1934.,False
27,"Au cours de cette saison, il obtient sa première victoire majeure en automobile aux Mille Miglia.",Electronic Arts distribue la version disque optique du jeu tandis que Valve gère la distribution en ligne pour Windows et OS X.,False
476,"Venizélos, démis de ses fonctions par le roi, crée un second gouvernement, à Thessalonique, sous la protection des troupes de l'Entente.",Le comte d'Anjou ordonna la construction du premier donjon sur le site dans la première moitié du XIe siècle.,False
6,"Deux fois champion d'Italie de vitesse moto en 1925 et 1927, champion d'Europe de vitesse moto en 1926 et champion d'Europe des pilotes automobiles en 1932, il reste célèbre tant pour ses exploits en course que pour sa personnalité et son style de pilotage.","Il fut deux fois champion d'Italie de vitesse moto en 1925 et 1927, champion d'Europe de vitesse moto en 1926 et champion d'Europe des pilotes de course automobile en 1932.",True
351,"Seul humain admis à dialoguer avec les dieux sur un plan d'égalité, Pharaon est l'officiant suprême ; le premier des prêtres du pays.","Pendant la Première Guerre mondiale, l'opposition continue entre les deux hommes.",False
330,"Dans cette iconographie, le pharaon est invariablement figuré comme l'égal des dieux.",L'iconographie montre le pharaon comme l'égal des dieux.,True
209,"Les nouveaux éléments du système de jeu, la courbe d'apprentissage du jeu, difficile, mais surmontable, et le nouveau mode coopératif, sont également soulignés.",L'égal des dieux est représenté par cette iconographie.,False
454,La Grèce sort ainsi vainqueur des deux guerres balkaniques.,La Grèce a remporté les deux guerres dans les Balkans.,True
47,"Nuvolari se tourne de nouveau vers la Scuderia Ferrari, avec le soutien du premier ministre italien Benito Mussolini.","Les nouvelles fonctionnalités de Portal 2 incluent les faisceaux tracteurs, la réflexion laser, les ponts de lumière et le gel pour augmenter la vitesse du joueur, ainsi que la possibilité de placer des portails sur des surfaces qu'il n'est pas possible de créer.",False
305,"Retiré gravement brûlé du véhicule, Richard Seaman succombe à ses blessures peu après minuit.","Après des études en Crète et en Grèce, il a déménagé à La Canée et a commencé le journalisme et la politique.",False
306,"Retiré gravement brûlé du véhicule, Richard Seaman succombe à ses blessures peu après minuit.",Il fut élu député à l'assemblée générale crétoise en 1889 et rédigea la constitution de la Crète à la fin de la révolte de 1897-1898.,False
80,"Parmi les seigneurs et châtelains successifs de Montrésor, trois personnalités émergent.",Trois personnes différentes émergent des seigneurs et seigneurs de Montrésor.,True
249,La retraite sportive prématurée de ce dernier à la fin de l'année conduit Seaman à monter une structure semi-indépendante.,"Pharaon assure la prospérité en faisant appel aux dieux pour réguler les eaux du Nil, en ouvrant des greniers en cas de famine, et en garantissant une bonne répartition des terres.",False
286,"Cette même année, il rencontre et se marie avec Erica Popp, fille du président et cofondateur de BMW, ce qui entraîne une complète rupture de ban avec sa famille.",La législation était conservée dans les archives et placée sous la responsabilité du vizir.,False
122,"Cette politique semble avoir enrayé la chute démographique observée depuis le début du XXe siècle et la population montrésorienne, bien que vieillissante, paraît stabilisée autour de 350 habitants depuis une vingtaine d'années.",La baisse démographique observée depuis le début du 20e siècle semble avoir été stoppée par cette politique et la population montréalaise semble être restée stable au cours des vingt dernières années.,True
288,"Cette même année, il rencontre et se marie avec Erica Popp, fille du président et cofondateur de BMW, ce qui entraîne une complète rupture de ban avec sa famille.","Il a rencontré et épousé la fille du président et co-fondateur de BMW, ce qui a entraîné une rupture avec sa famille.",True
168,"Ces gels ont été créés par l'équipe du projet Tag: The Power of Paint du DigiPen Institute of Technology, gagnante de la compétition étudiante au Independent Games Festival de 2009.","Il a rencontré et épousé la fille du président et co-fondateur de BMW, ce qui a entraîné une rupture avec sa famille.",False
428,"C’est dans ce contexte qu’au printemps 1905, il prend la tête d’une insurrection qui se termine par le départ du prince Georges.",Le Premier ministre italien Benito Mussolini a soutenu le transfert de Nuvolari à la Scuderia Ferrari.,False
42,"Déçu par les monoplaces de l'écurie, il entre en conflit avec Enzo Ferrari et rejoint Maserati en milieu de saison 1933 pour y rester jusqu'en 1934, date à laquelle la firme se retire de la compétition.",La première suite de Portal est sortie en 2007.,False
310,Les fonctions pharaoniques sont les diverses activités religieuses et gouvernementales exercées par le roi d'Égypte durant l'Antiquité (entre les années 3150 et 30 avant notre ère).,Les diverses activités religieuses et gouvernementales du roi d'Egypte ont eu lieu entre les années 3150 et 30 av.,True
152,"Avant la sortie du jeu sur Steam, l'entreprise met en vente un deuxième jeu en réalité alternée, Potato Sack, portant sur treize titres développés indépendamment, qui aboutit à une parodie de calcul distribué permettant de télécharger Portal 2 dix heures avant sa sortie.",Il a acheté un Delage de dix ans pour lui donner une leçon.,False
412,"Après des études en Crète et en Grèce, il devient avocat en 1887, s'installe à La Canée, et se lance dans le journalisme et la politique.",Il a obtenu sa première grande victoire automobile.,False
60,Il meurt en 1953 d'un accident vasculaire cérébral.,Il est mort d'un accident vasculaire cérébral.,True
392,"Unique législateur, les lois et décrets qu'il promulgue s'inspirent de la sagesse divine.",Les lois et le décret sont inspirés de la sagesse divine.,True
199,"Même si certaines critiques expriment, dans un premier temps, des réserves concernant la difficulté de trouver une suite complète au premier opus, Portal 2 est très bien accueilli par l'ensemble de la presse spécialisée.","Portal 2 est très bien accueilli par toute la presse spécialisée, même si certains critiques émettent des réserves sur la difficulté de trouver une suite complète au premier.",True
247,La retraite sportive prématurée de ce dernier à la fin de l'année conduit Seaman à monter une structure semi-indépendante.,Les membres de l'administration ne sont autorisés à agir qu'au nom de la personne royale.,False
385,Pharaon est toujours le seul vainqueur ; debout en assommant une grappe de prisonniers ou en décochant des flèches depuis son char de combat.,Pharaon est le seul gagnant car il est le seul à pouvoir se tenir prêt et tirer des flèches depuis son char de combat.,True
58,"Au sortir du conflit, âgé de cinquante-quatre ans et malgré la maladie, il obtient plusieurs résultats notables et se retire en 1950 sur une victoire de catégorie.","La version originale du jeu a été écrite par Stephen Merchant et J. K. Simmons, et la version française a été écrite par Guillaume Lebon et Paul Borne.",False
424,"Ministre de la Justice de 1898 à 1901 dans le gouvernement local du haut-commissaire le prince Georges, il s’oppose à ce dernier sur la question du rattachement à la Grèce.","Dans le gouvernement local du haut-commissaire Prince George, le ministre de la Justice de 1898 à 1901 s'est opposé à l'idée de l'attachement à la Grèce.",True
232,Il trouve la mort lors du Grand Prix de Belgique 1939.,"Remplis de bonnes choses, les dieux se doivent d'opérer favorablement les forces de la nature au profit de tous les Égyptiens.",False
108,"La faible superficie du territoire communal (98 hectares en 2015 mais seulement 21 en 1830), qui en fait la plus petite commune du département, ne laisse pas de place à un secteur agricole développé.","La petite superficie du territoire municipal ne laisse aucune place à un secteur agricole développé, car c'est le plus petit du département.",True
458,"Cependant, il entre dans un très grave conflit avec le commandant en chef des troupes grecques, le prince héritier Constantin.","Le commandant en chef des troupes grecques, le prince héritier Constantin, a eu un grave conflit avec lui.",True
378,"Chef des armées, le pharaon est le valeureux protecteur des frontières.",La Grande Idée avec les Traités de Neuilly et Sèvres s'est en partie réalisée grâce à son talent de diplomate.,False
198,"Même si certaines critiques expriment, dans un premier temps, des réserves concernant la difficulté de trouver une suite complète au premier opus, Portal 2 est très bien accueilli par l'ensemble de la presse spécialisée.","La figure centrale de l'État est le pharaon, un intercesseur entre les dieux et les humains.",False
446,"Premier ministre, il mène une politique de modernisation du royaume, principalement en ce qui concerne l'armée et la marine, afin de permettre au pays d'affronter les conflits qui se dessinent.","Afin de permettre au pays de faire face aux conflits émergents, le Premier ministre mène une politique de modernisation du royaume en ce qui concerne l'armée et la marine.",True
24,"Ces titres acquis, Nuvolari fonde son écurie, la Scuderia Nuvolari, et se tourne vers la compétition automobile tout en poursuivant la compétition motocycliste en parallèle jusqu'à la fin de la saison 1930 quand il décide de se consacrer exclusivement à l'automobile.","Après un jeu de réalité alternative d'une semaine basé sur de nouvelles corrections du jeu original, une suite à Portal sera annoncée le 5 mars 2010.",False
77,"C'est à ses pieds que s'est édifié le bourg, d'abord simple lieu-dit de la commune voisine de Beaumont-Village, érigé en paroisse en 1700 seulement, autour de la collégiale Saint-Jean-Baptiste, et devenu commune à la Révolution française.","Après la sortie du jeu, Valve publiera une aide qui comprend des DLC supplémentaires et un éditeur de carte simplifié pour permettre aux joueurs de créer et de partager des salles de test avec d'autres.",False
243,"Quittant progressivement les études, il s'engage en voiturettes au sein de l'écurie de son ami en 1934.",Tout membre de l'administration n'est autorisé à agir qu'au nom de la personne royale.,False
19,"Quatre ans plus tard, en 1924, il devient champion d'Italie en catégorie 500 cm3 et, l'année suivante, coiffe la couronne de champion d'Europe en catégorie 350 cm3 avant de remporter de nouveau le championnat italien en 1926.",Il devient champion d'Italie dans la catégorie 500 cm3 en 1924 et champion d'Europe dans la catégorie 350 cm3 en 1927.,True
110,L'absence de voies de communications importantes traversant la commune n'est pas un facteur favorable à l'implantation d'industries ou d'entreprises de grande dimension ; l'industrie drapière de Montrésor s'est éteinte au XIXe siècle.,"Le 25 janvier, il y avait près de quatre millions d'exemplaires de Portal 2 vendus.",False
258,"En milieu d'année, découvrant que l'écurie s'est jouée de lui, il se libère de ses engagements, conserve la voiture et change de stratégie.","En milieu d'année, il s'est libéré de ses engagements, a conservé sa voiture et a changé de stratégie après avoir appris que l'équipe avait joué contre lui.",True
10,Nuvolari commence à piloter en compétition motocycliste en 1920 alors qu'il est déjà âgé de vingt-sept ans.,"Depuis plusieurs décennies, la commune a centré son développement économique sur le tourisme, aidée par la richesse de son patrimoine bâti, de son cadre naturel et de ses personnages historiques.",False
284,"L'année suivante, il remporte une Grande Épreuve comptant pour le championnat d'Europe des pilotes, le Grand Prix d'Allemagne.",Le Grand Prix d'Allemagne était le grand événement qu'il avait remporté l'année précédente.,True
489,Il parvient alors à concilier les impératifs d’une politique extérieure liée à la guerre à toute une série de réformes modernisatrices.,Il concilie les impératifs d'une politique étrangère liée à la guerre avec une série de réformes modernisatrices.,True
495,"Lors des négociations de paix, son talent de diplomate lui permet de réaliser en partie la Grande Idée avec les traités de Neuilly et de Sèvres.",La Grande Idée des Traités de Neuilly et Svres s'est en partie réalisée grâce à son talent de diplomate.,True
315,"Personnage central de l'État, le pharaon est l'intercesseur obligé entre les dieux et les humains.",L'intercesseur entre les dieux et les humains est une figure centrale de l'État.,True
75,"C'est à ses pieds que s'est édifié le bourg, d'abord simple lieu-dit de la commune voisine de Beaumont-Village, érigé en paroisse en 1700 seulement, autour de la collégiale Saint-Jean-Baptiste, et devenu commune à la Révolution française.",Jonathan Coulton et The National ont écrit une chanson pour le match.,False
319,"Personnage central de l'État, le pharaon est l'intercesseur obligé entre les dieux et les humains.","La figure centrale de l'État est le pharaon, qui est l'intercesseur entre les dieux et les humains.",True
409,"La jeunesse de Venizélos est marquée par les luttes en Crète contre la présence ottomane et en faveur d'un rattachement à la Grèce, l’enosis.",La jeunesse de Venizelos a été marquée par les luttes en Crète contre la présence ottomane et par un attachement à la Grèce.,True
112,L'absence de voies de communications importantes traversant la commune n'est pas un facteur favorable à l'implantation d'industries ou d'entreprises de grande dimension ; l'industrie drapière de Montrésor s'est éteinte au XIXe siècle.,L'industrie du drap de Montrésor s'est éteinte au XIXe siècle en raison de l'absence de voies de communication importantes.,True
21,"Ces titres acquis, Nuvolari fonde son écurie, la Scuderia Nuvolari, et se tourne vers la compétition automobile tout en poursuivant la compétition motocycliste en parallèle jusqu'à la fin de la saison 1930 quand il décide de se consacrer exclusivement à l'automobile.","A la fin de la saison 1930, Nuvolari décide de se consacrer exclusivement à l'automobile et fonde son équipe, la Scuderia Nuvolari.",True
286,"Cette même année, il rencontre et se marie avec Erica Popp, fille du président et cofondateur de BMW, ce qui entraîne une complète rupture de ban avec sa famille.","Il a rencontré et épousé la fille du président et co-fondateur de BMW, ce qui a conduit à une rupture complète avec sa famille.",True
103,"Xavier Branicki, exilé polonais, arrivé à Montrésor en 1849, homme d'affaires et écrivain, est un mécène pour sa commune dont il est maire pendant 10 ans ; sa famille habite toujours le château.","Exilé polonais arrivé à Montrésor en 1849, Branicki est un homme d'affaires et écrivain qui est maire de la ville pendant 10 ans.",True
350,"Seul humain admis à dialoguer avec les dieux sur un plan d'égalité, Pharaon est l'officiant suprême ; le premier des prêtres du pays.",Pharaon est le premier des prêtres du pays et il est le seul autorisé à dialoguer avec les dieux sur un pied d'égalité.,True
259,"En milieu d'année, découvrant que l'écurie s'est jouée de lui, il se libère de ses engagements, conserve la voiture et change de stratégie.","En milieu d'année, il s'est libéré de ses engagements, a conservé la voiture et a changé de stratégie, après avoir appris que l'équipe avait joué sur lui.",True
235,"Issu de la haute bourgeoisie britannique, il s'écarte de la carrière que lui prévoient ses parents pour courir aux côtés de son collègue d'école, Whitney Straight.",L'espoir d'un juste retour du service s'exprime par cette piété.,False
