,original,paraphrase,similar
458,The Scots were drawn into King William II's continental wars.,The novel was praised for its depiction of a woman's views on sexuality.,False
51,"Utami has said the stories reflect some of her personal experiences, such as her loss of religion which mirrors that of the priest, Saman.","The stories reflect some of Utami's personal experiences, such as her loss of religion and that of the priest, Saman.",True
209,"Ansel Easton Adams (February 20, 1902 – April 22, 1984) was an American landscape photographer and environmentalist known for his black-and-white images of the American West.",The Great Michael was one of the 38 ships he acquired.,False
361,"The Union of Crowns in 1603 ended conflict with England, but England's foreign policy opened up Scottish shipping to attack.","The conflict between England and the Union of Crowns ended in 1603, but England's foreign policy opened the way for Scottish shipping to attack.",True
312,James IV established a gun foundry in 1511 and gunpowder weaponry fundamentally altered the nature of castle architecture.,The nature of castle architecture was altered by gunpowder weaponry.,True
13,"Stargate SG-1 re-introduced supporting characters from the film universe, such as Jonathan ""Jack"" O'Neill and Daniel Jackson and included new characters such as Teal'c, George Hammond and Samantha ""Sam"" Carter.",The three issues of coinage may have been done on the orders of Hrotheweard.,False
314,James IV established a gun foundry in 1511 and gunpowder weaponry fundamentally altered the nature of castle architecture.,The nature of castle architecture was changed by gunpowder weaponry.,True
141,"Ragnall died the following year, whereupon the Annals of Ulster describe him as ""king of the fair foreigners and the dark foreigners"".","The Annals of Ulster describe Ragnall as the ""king of the fair foreigners and the dark foreigners"".",True
496,"The first official Highland regiment to be raised for the British army was the Black Watch in 1740, but the growth of Highland regiments was delayed by the 1745 Jacobite Rebellion.",He and his kinsman Sitric Cech fought many battles against local kings in Ireland.,False
85,A film adaptation is in the making.,In August 2020 it was announced that Cooper and Cindy Chupack would be producing a comedy show for CBS based on How to be Successful Without Hurting Men's Feelings.,False
135,"In 920 Ragnall and his neighbouring northern kings came to an agreement with Edward the Elder, King of the Anglo-Saxons, though it is a matter of dispute whether Ragnall recognised Edward as his overlord.",He was hired by the United States Department of the Interior to take pictures of national parks.,False
171,"Her first two books, 100 Tricks to Appear Smart in Meetings and Draw What Success Looks Like were published in 2016.",The troops brought swords and bows.,False
170,"Her first two books, 100 Tricks to Appear Smart in Meetings and Draw What Success Looks Like were published in 2016.",100 tricks to appear smart in meetings and draw what success looks like were her first two books.,True
337,"Scottish ships had some success against privateers, accompanied the king on his expeditions to the islands, and intervened in Scandinavia and the Baltic, but were sold after the Flodden campaign.",The army in Scotland was over 3000 men on the eve of the revolution.,False
256,"He helped to stage that department's first photography exhibition, helped found the photography magazine Aperture, and co-founded the Center for Creative Photography at the University of Arizona.",In 1626 a squadron of three ships were bought and equipped for protection.,False
37,"Written in seven to eight months while Utami was unemployed,  Saman sold over 100,000 copies and ignited a new literary movement known as sastra wangi (originally used pejoratively) that opened the doors to an influx of sexually-themed literary works by young Indonesian women.",Sarah Anne Cooper is a Jamaican-American author and comedian based in New York City.,False
421,"After the Covenanters allied with the English Parliament they established two patrol squadrons for the Atlantic and North Sea coasts, known collectively as the ""Scotch Guard"".","The ""Scotch Guard"" were established after the Covenanters allied with the English Parliament.",True
458,The Scots were drawn into King William II's continental wars.,King William II drew the Scots into his wars.,True
207,"Ansel Easton Adams (February 20, 1902 – April 22, 1984) was an American landscape photographer and environmentalist known for his black-and-white images of the American West.",Adams is known for his black-and-white images of the American West.,True
145,He was succeeded as king by Sitric Cáech.,The establishment of the photography department at the Museum of Modern Art in New York was an important landmark in securing photography's institutional legitimacy.,False
13,"Stargate SG-1 re-introduced supporting characters from the film universe, such as Jonathan ""Jack"" O'Neill and Daniel Jackson and included new characters such as Teal'c, George Hammond and Samantha ""Sam"" Carter.","The film universe's supporting characters, such as Jonathan ""Jack"" O'Neil and Daniel Jackson, were re-introduced in the show.",True
381,In the early seventeenth century large numbers of Scots took service in foreign armies involved in the Thirty Years' War.,Scottish units in the British Army took part in a number of wars on the European continent.,False
91,"Ragnall ua Ímair (Old Norse: Rögnvaldr, died 921) or Rægnald was a Viking leader who ruled Northumbria and the Isle of Man in the early 10th century.",Rgnald was a viking leader who ruled the Isle of Man in the early 10th century.,True
495,"The first official Highland regiment to be raised for the British army was the Black Watch in 1740, but the growth of Highland regiments was delayed by the 1745 Jacobite Rebellion.","The Black Watch was raised for the British army in 1740, but its growth was delayed by the Jacobite Rebellion.",True
286,Heavy armour was abandoned after the Flodden campaign.,"Scottish infantry were generally armed with a combination of pike and shot, but individuals may have had weapons including bows and polearms.",False
49,She also writes  about  the  supernatural and mysticism.,She writes about mysticism and the supernatural.,True
290,Highland lords tended to continue to use lighter chainmail and ordinary highlanders dressed in the plaid.,"Scottish infantry were generally armed with a combination of pike and shot, but individuals may have had weapons.",False
292,Highland lords tended to continue to use lighter chainmail and ordinary highlanders dressed in the plaid.,Royalist armies were mostly composed of infantry with pike and shot.,False
15,"The first season was about a military-science expedition team discovering how to use the ancient device, named the Stargate, to explore the galaxy.",The first season was about a military-science expedition team discovering how to use an ancient device to explore the universe.,True
81,"As of 2008, it has been translated into six languages and won several awards, including the 2000 Prince Claus Award.","It has won several awards, including the 2000 Prince Claus Award, as it has been translated into six languages.",True
210,"He helped found Group f/64, an association of photographers advocating ""pure"" photography which favored sharp focus and the use of the full tonal range of a photograph.","He helped found Group f/64, an association of photographers advocating ""pure"" photography which favored sharp focus and the use of the full tonal range of a photograph.",True
322,There were attempts to create royal naval forces in the fifteenth century.,There were attempts to create naval forces.,True
11,"Stargate SG-1 re-introduced supporting characters from the film universe, such as Jonathan ""Jack"" O'Neill and Daniel Jackson and included new characters such as Teal'c, George Hammond and Samantha ""Sam"" Carter.",A group of Christian Vikings opposed to Ragnall's paganism challenged his rule.,False
222,The resulting clarity and depth of such images characterized his photography.,"Scottish ships had some success against privateers, but they were sold after the Flodden campaign.",False
168,Cooper left Google to focus full-time on writing and comedy.,Cooper left the company to focus on writing and comedy full time.,True
213,"He helped found Group f/64, an association of photographers advocating ""pure"" photography which favored sharp focus and the use of the full tonal range of a photograph.","He helped found Group f/64, an association of photographers who advocated the use of the full range of a photograph.",True
257,"He helped to stage that department's first photography exhibition, helped found the photography magazine Aperture, and co-founded the Center for Creative Photography at the University of Arizona.",The Royal Scots Navy and privateers were involved in a major expedition in 1627.,False
434,"During the English occupation, more fortresses in the style of the trace italienne were built.",More fortresses were built in the style of the trace italienne.,True
485,"At the Union, the standing army was seven units of infantry, two of horse and one troop of Horse Guards, besides varying levels of fortress artillery.",Rgnald was a Viking leader who ruled the Isle of Man in the early 10th century.,False
269,"In the late Middle Ages, Scottish armies were assembled on the basis of common service, feudal obligations and money contracts of bonds of manrent.","Common service, feudal obligations, and money contracts of bonds of manrent were the basis of Scottish armies in the late Middle Ages.",True
84,"As of 2008, it has been translated into six languages and won several awards, including the 2000 Prince Claus Award.",The American landscape photographer and environmentalist known for his black-and-white images of the American West was named Ansel Easton Adams.,False
261,"Warfare in early modern Scotland includes all forms of military activity in Scotland or by Scottish forces, between the adoption of new ideas of the Renaissance in the early sixteenth century and the military defeat of the Jacobite movement in the mid-eighteenth century.",The Royal Scots Navy and privateers were involved in a major expedition.,False
23,"However, they encountered a powerful enemy in the film named the Goa'uld, who are bent on destroying Earth and all who oppose them.","The Goa'uld, who are bent on destroying Earth and all who oppose them, were encountered by them in the film.",True
327,James IV founded a harbour at Newhaven and a dockyard at the Pools of Airth.,"In the suppression of Covenanter rebellions, the standing army was used.",False
200,"It features an allegorical fight over national determinism between the British Empire, the United States and Venezuela.",Light horses were often drawn from the Borders.,False
422,"After the Covenanters allied with the English Parliament they established two patrol squadrons for the Atlantic and North Sea coasts, known collectively as the ""Scotch Guard"".","Saman, written in seven to eight months while Utami was unemployed, sold over 100,000 copies and sparked a new literary movement called sastra wangi.",False
431,"During the English occupation, more fortresses in the style of the trace italienne were built.","Saman deals with topics of sexuality, taboo for women writers in Indonesia at that time.",False
475,"In the 1690s a fleet of five ships was established for the Darien Scheme, and a professional navy of three warships to protect local shipping.",The 2000 Prince Claus Award is one of the awards it has won.,False
242,He was later contracted with the United States Department of the Interior to make photographs of national parks.,The expeditions to the Isles and France were the most important use of naval power in his reign.,False
413,Montrose's forces were short of heavy artillery suitable for siege warfare and had only a small force of cavalry.,The lives of four sexually-liberated female friends and a former catholic priest are depicted in Utami's first novel.,False
499,"The first official Highland regiment to be raised for the British army was the Black Watch in 1740, but the growth of Highland regiments was delayed by the 1745 Jacobite Rebellion.","The Black Watch was the first Highland battalion to be raised for the British army in 1740, but the Jacobite Rebellion delayed the growth of Highland battalions.",True
347,Despite truces with England there were periodic outbreaks of a guerre de course.,There were occasional flare ups of a guerre de course.,True
152,Sarah Anne Cooper (born 1977) is a Jamaican-American author and comedian based in New York City.,Sarah Anne Cooper is a Jamaican-American author and comedian based in New York City.,True
210,"He helped found Group f/64, an association of photographers advocating ""pure"" photography which favored sharp focus and the use of the full tonal range of a photograph.",additions to existing castles and earthwork forts were given to Scotland in the 1540s and 1550s.,False
77,The novel eventually was hailed for its groundbreaking portrayal of a woman's views of sexuality.,The comedy show based on How to be Successful Without Hurting Men's Feelings would be produced by Cooper and Cindy Chupack.,False
232,"At age 12, he was given his first camera during his first visit to Yosemite National Park.",He was given his first camera when he was 12.,True
176,"Her third book, How to Be Successful Without Hurting Men's Feelings, was published in 2018.",The Flodden campaign ended with the abandonment of heavy armour.,False
164,"and in user experience for Google Docs, Sheets, and Slides while also performing stand-up comedy.","While performing stand-up comedy, I was also in the user experience for some of the products.",True
341,Scottish naval efforts subsequently relied on privateering captains and hired merchantmen.,"3,250 men were in the army on the eve of the revolution.",False
162,"and in user experience for Google Docs, Sheets, and Slides while also performing stand-up comedy.","While performing stand-up comedy, I was also doing user experience work for the internet giant.",True
377,The Scots also returned to West Indies and in 1629 took part in the capture of Quebec.,The Scots took part in the capture of Quebec in 1629 after returning to West Indies.,True
